"Title","Description","Country","Budget","Total Ratio","GDO Classification","Seven Flagship Classification"
"High railway - Endorse key connections both national and urban lines","Intervention on multiple urban lines and some national to improve the mobility system","Italy","2970","1.55","Green","Recharge and Refuel"
"High railway - Endorse key connections regional lines","Intervention on multiple regional lines to improve the mobility system in terms of passengers numbers, travel time, interconnections","Italy","940","0.49","Green","Recharge and Refuel"
"High railway - Southern rail stations plan","Intervention on multiple regional lines in the south focused on specific stations","Italy","700","0.37","Green","Recharge and Refuel"
"High railway - Upgrading, electrification and resilience in the South","Intervention on multiple regional lines in the south","Italy","2400","1.25","Green","Recharge and Refuel"
"High Speed 2 (HS2)","The UK Government is investing over £22 billion for HS2, which will form the spine of the UK’s transport network by delivering essential North-South connectivity between some of the UK’s biggest and most productive cities.","United Kingdom","0","8.04","Other","Connect"
"High value courses for school and college leavers (England)","The UK Government made funding available for the 2020-21 academic year to give all 18-19-year olds in England the opportunity to study targeted high value Level 2 and 3 courses when there are not employment opportunities available to them.","United Kingdom","120","0.04","Other","Reskill and Upskill"
"High-skilled migration","Modernising the immigration system to attract and retain the most highly skilled, globally mobile talent. The UK Government will: •	Introduce an elite points-based route to attract the brightest and best to the UK to maintain our status as a leading international hub for emerging and disruptive technologies. •	Create a ‘scale up’ stream within the new points-based route that will allow those with a job offer at the required skills level from a recognised UK scale-up to qualify for a fast-track visa. •	Reform our Global Talent route by expanding the criteria in Spring 2021 so that global prize winners automatically qualify and broadening this by Autumn 2021 to include winners of scholarships and other elite programmes for early promise. •	Review the Innovator route to make it easier for those with the skills and experience to found innovative businesses in the UK to obtain a visa – the conclusions of the review will be set out in the Innovation Strategy in Summer 2021. •	Launch, by Spring 2022, a single sponsored Global Business Mobility route for overseas businesses seeking to establish a presence here or transfer staff to the UK. •	Support small firms who are navigating the sponsorship system for the first time. •	Modernise the immigration system by streamlining sponsorship processes. The UK Government will publish a delivery roadmap in the summer. •	Expand the Global Entrepreneur Programme, actively market UK visa offering and explore building an overseas talent network in global talent hotspots.","United Kingdom","0","0","Other","Other/Uncategorised"
"Higher education reforms (Scotland)","To reform and enhance higher education, the Scottish Government has set a commitment that by 2030, at least 20% of university entrants come from Scottish 20% most deprived areas. They will also: •	Carry out a student income and expenditure survey  •	Implement the Independent Review of Student support to provide students with the financial support they need. •	Develop a lifelong learning strategy that ensures youth and adult learning are integrated within the wider education and skills system","United Kingdom","0","0","Other","Reskill and Upskill"
"Highways for nature and culture","Investment in the physical infrastructure of monuments and installation of 5G infrastructure along routes of particular natural and cultural interest to tourists. These interventions are complemented with the development of: a) digital services, b) e-commerce services and c) certification of providers of local goods and services.","Greece","30","0.16","Digital","Connect"
"HORIZON 2020 “Seal of excellence”: financing top innovative companies","The investment concerns 13 project proposals that have received the HORIZON 2020 “Seal of Excellence” quality label and are eligible for a grant, but not financed due to budgetary constraints. The investment will support these SME proposals, adding to private funding by the beneficiaries. The sectors eligible for funding are: 1) materials, 2) tourism, culture & creative industries, 3) agri-food, 4) health and pharma, 5) transport & logistics, 6) energy, and 7) ICT 8) Environment and Sustainable Development","Greece","18","0.1","Digital","Other/Uncategorised"
"Housing Law","Ensure the right to decent and adequate housing.","Spain","0","0","Green","Other/Uncategorised"
"Human rights to underpin government (Scotland)","To ensure that equality, inclusion and human rights underpin decision-making and delivery across government and the wider public sector in Scotland, the Scottish Government will: •	Reform the Gender Recognition Act in a Bill introduced in the first year of this parliamentary session. This will ensure the process by which a trans person can obtain legal recognition is simplified, reducing the trauma associated with that process. •	Introduce world-leading human rights legislation within this parliamentary session to incorporate, so far as possible within devolved competence, the International Covenant on Economic, Social and Cultural Rights, the Convention on the Elimination of All Forms of Discrimination against Women, the Convention on the Elimination of All Forms of Racial Discrimination, and the Convention on the Rights of Persons with Disabilities. This legislation will also include the right to a healthy environment, a right for older people to ensure equal access to their human rights so that they can live a life of dignity and independence, and an equality clause which provides equal access for everyone, including LGBTI people, to the rights contained within the Bill. •	Improve support for people at risk of destitution due to No Recourse to Public Funds.  •	Aim to bring forward legislation to implement a ban on conversion therapy in Scotland, which is as comprehensive as is possible under currently devolved powers by the end of 2023, unless sufficiently comprehensive proposals are brought forward before then by either the UK Government or through the Scottish Parliament. •	Further embed equality and human rights within all stages of the Scottish Government’s Budget process and to develop and implement an equality and human rights strategy by the end of 2024. •	Improve non-binary equality and develop an action plan by spring 2023","United Kingdom","0","0","Other","Other/Uncategorised"
"Hydrogen roadmap: a commitment to renewable hydrogen","This is a country's commitment to renewable hydrogen with the aim of decarbonizing the economy, reducing energy costs for industry, the service sector and households, and promoting competitiveness.","Spain","0","0","Green","Power Up"
"Implementation of actions for purification, sanitation, efficiency, savings, reuse and security of infrastructures (DSEAR)","It is intended to carry out the following actions: Purification, sanitation and reuse actions; Actions to improve efficiency and reduce losses in the use of water and Investments to improve the safety of dams and reservoirs.","Spain","642","0.91","Green","Other/Uncategorised"
"Implementation of EASA compliance rectification works","Investment in the upgrade of 13 regional airports, to address deviations and/or non-compliance under the new European Aviation Safety Agency (EASA) Certification Specifications, which constitute a contractual obligation of the state. The investment will make these airports, which are all of vital importance to the local economies, fully compliant with Regulation (EU) 2018/1139.","Greece","107","0.59","Digital","Modernise"
"Implementation of just transition agreements in energy transition areas","The objective is to guarantee the maintenance of employment and the creation of activity in the territories affected by the energy transition, through support to sectors and groups at risk, so that it contributes to the fixation of the population and the generation of new opportunities.","Spain","0","0","Other","Other/Uncategorised"
"Implementation of the ERESEE and its action plan","The objective of ERESEE 2020 is to define a framework to “support the renovation of the national  residential and non-residential housing stock, both public and private, transforming them into real estate housing with high energy efficiency and decarbonized before 2050, facilitating the economically profitable transformation of existing buildings into buildings with almost zero energy consumption ""","Spain","0","0","Green","Renovate"
"Implementation of the national public health prevention program ""Spyros Doxiadis""","The project aims to upgrade the quality of life of the population with the creation of a very comprehensive system of prevention. Indicatively, the program includes: a national program for the promotion of physical exercise and healthy eating; a national vaccination program; implementation of the National Screening Program - introduction of preventive diagnostic tests for breast cancer; the National Neonatal Screening Program; the National Program of Psychosocial Integration and Rehabilitation for people with serious psycho-social problems. Ultimately, the aim of the program is to reduce the risk factors for public health and the (indirect) relief of our hospital system.","Greece","254","1.4","Other","Other/Uncategorised"
"Implementation of the new unified insolvency framework for the restructuring of debt and 2nd chance","The reform aims to develop the digital infrastructure needed to support: ● the early warning and preventive debt restructuring procedures provided through the new unified / codified legal framework for the management of debt of individuals and legal entities; ● the bankruptcy and restructuring of private debt, namely the provision of a second chance, under the new law; and ● the implementation of specific actions to support vulnerable households","Greece","3","0.02","Other","Other/Uncategorised"
"Implementation of the Spanish Urban Agenda","To implement measures in the framework of the Spanish Urban Agenda related to the rehabilitation, regeneration and renovation of urban areas.","Spain","0","0","Green","Renovate"
"Implementing a support plan fo rail transport","The aim is to enhance globally the quality of rail transports with an emphasis on environmental preservation","France","4390","10.76","Green","Recharge and Refuel"
"Improve the system of non-contributory economic benefits of the General State Administration","Modernization and improvement of the system of non-contributory economic benefits of the General State Administration from the Minimum Guaranteed Income (IMV); development of the governance model for inclusion; and launch of the employment incentive for the beneficiaries of the IMV.","Spain","2.05","0","Other","Other/Uncategorised"
"Improved energy subsidy scheme (Brussels Capital Region)","The objective is to increase the renovation rate in the region while ensuring quality renovations aimed at improving the energy performance of buildings by extending and increasing existing energy and renovation premiums.","Belgium","16","0","Green","Renovate"
"Improved energy subsidy scheme (Flanders)","In order to boost the renovation rate, the premiums aimed at energy efficiency and renewable energy on the one hand (energy policy) and target group-oriented premiums for improving the quality of the housing (housing policy) on the other hand will be reformed and integrated into a single customer-friendly and transparent counter from 2022 onwards. In 2023, the functionalities of the counter will be further expanded. The level of support will become more dependent on income, making renovation feasible for more owners. Also, in a separate, the services of the existing energy and housing offices will be further integrated so that citizens have easy access to renovation advice, financing solutions and guidance in carrying out the work, with special attention to vulnerable households.","Belgium","243","0.04","Green","Renovate"
"Improved energy subsidy scheme (German-speaking Community)","The  reform aims to introduce a system of renovation premiums for dwellings used for residential purposes, in order to improve the energy performance of these buildings. The practice of recent years has shown that the current system is not satisfactory in this regard: many citizens have not applied for premiums because the administrative burden is too high.","Belgium","5","0","Green","Renovate"
"Improved Regulation and Business Environment","This reform aims to improve the framework in which economic activity takes place, ensuring a more adequate regulation and business environment that facilitates the creation and growth of companies, as well as their restructuring if necessary.","Spain","0","0","Other","Other/Uncategorised"
"Improvement of digital infrastructures, equipment, technologies, teaching and university digital evaluation","The following measures will be implemented: 1. Fostering investment in infrastructures, technological developments and teaching innovation projects to improve academic resources in digitization, 2. Support for centralized infrastructures (RedIRIS) and ICT services, 3. Gap reduction of academic staff and students, 4. Promotion of interuniversity digital innovation projects of a strategic and transversal nature, 5. Promotion of training and the recruitment of digital talent and 6. Support for depopulated Spain through the articulation of projects from the centers associated with the UNED located throughout the state territory.","Spain","146.88","0.21","Digital","Modernise"
"Improvement of state-of-the-art training facilities (Wallonia)","The Walloon Region wants to equip itself with an advanced and energy-efficient training infrastructure that keeps pace with the evolution of the professions and the economy. The goal is to respond to the impact of the covid-19 crisis on the labor market. Thanks to training on this state-of-the-art equipment, the transition from unemployment to employment, including for the low-skilled, is a priority. The project ""Upgrading of state-of-the-art training infrastructures"" aims to promote synergies between vocational training actors in order to make the training landscape more readable, effective and efficient and to create integrated training pathways with bridges made possible by the proximity of facilities.","Belgium","83.74","0.01","Other","Reskill and Upskill"
"Improvement of the financing of rehabilitation actions","Regulatory reform actions and the application of specific financial instruments will be carried out in order to improve the financing of rehabilitation actions, especially in neighboring communities.","Spain","0","0","Green","Renovate"
"Improvement of the internal (via WiFi) and external (via fiber) connectivity of schools, but also of the 35 business parks in Wallonia (Wallonia)","In particular, this project aims to equip themselves with the most modern and health-friendly technologies; continue the rollout of the fiber optic network in the 35 business parks in the territory; strengthen the internal connectivity of the 1500 educational institutions in order to implement the digital education strategy on the one hand and reduce the social divide on the other.","Belgium","70","0.01","Digital","Connect"
"Improving health services for chronic pain (Scotland)","To improve health services for chronic pain patients, the Scottish Government will: •	Publish a Recovery Framework for Pain Management Services. •	Work with Health Boards to support the safe and rapid remobilisation of pain management services. •	Explore the potential for Health Boards to utilise additional regional and national capacity for delivery of pain management procedures.  •	Work with local, regional and national stakeholders, including patient groups, to develop the current Scottish Service Model for Chronic Pain and to publish a new Framework for Chronic Pain Service Delivery in 2021. •	Publish a revised Opioid Prescribing Guidance for Chronic Pain.","United Kingdom","0","0","Other","Other/Uncategorised"
"Improving mental health care and provision (Scotland)","To enhance mental health services and reduce inequalities in mental health care provision, particularly after the significant impact of the pandemic, the Scottish Government will focus on improving mental health services, shifting towards prevention and early intervention. They aim to:  • Increase spending on mental health services to 10% of the total frontline NHS budget by the end of this parliamentary session.  • Work with health boards to ensure at least 1% of all frontline spend goes on Children and Adolescent Mental Health Services by the end of this parliamentary session. • Work with local authorities to establish new Community Mental Health and Wellbeing Services, which support and improve mental health and emotional wellbeing, to ensure they are ready to support children, young people and their families as soon as possible via £2 million in funding. • Double the budget for community based mental wellbeing services for children and young people to £30 million.  • Increase the focus on raising awareness and understanding of mental health and mental wellbeing issues and support the training of all staff working with children and young people. • Expand community provision of mental health services linked to GP practices, providing assessment as well as help and support for underlying issues and problems, including access to community assets such as support groups, social activities and exercise. Scotland will ensure that, by the end of this parliamentary session, every GP practice has a link worker and access to an assigned community-based mental health clinician.  • Establish Mental Health Assessment Centres to allow quicker access to specialist services. • Develop a long-term mental health workforce plan in the first half of this parliamentary session.  • Set out a refreshed and refocused set of consolidated mental health commitments in 2022 to reflect the current mental health and wellbeing needs of the people of Scotland. This will include a review and refresh of the Mental Health Strategy 2017-2027. • To mitigate the impacts on mental health of unemployment (or the risk of unemployment), redundancy and unhealthy workplace practices. • Expanding the National Trauma Training Programme by a further two years (to 2022/23) to ensure that our workforce has the resources they need to help raise awareness of the different ways in which traumatic experiences and stress affects people. • Provide additional support to individuals in a COVID-19 shielding category to maintain their mental wellbeing, and respond to the mental health impacts of COVID-19 on carers. • Engage with women’s organisations in order to identify, and take action to support women and girls’ mental health on an individual and structural level. • Work in partnership with the National Suicide Prevention Leadership Group (NSPLG), to deliver interventions on suicide prevention, and work with Public Health Scotland to improve reporting on suicide rates. • Expand mental health and wellbeing support for health and social care staff, including the development of a Health and Social Care Mental Health Network and enhanced access to digital resources with an initial £5 million of funding. • Expand and enhance digital resources available to staff, including deployment of large-scale psychological interventions accessible via the National Wellbeing Hub and the National Wellbeing Helpline. These platforms will also provide confidential assessment and treatment for mental ill health. • Recruit 800 mental health workers to key settings, including GP practices, and continue to explore further ways to support the recruitment of mental health workers in the community.","United Kingdom","11","0","Other","Other/Uncategorised"
"Improving planning services (Scotland)","To improve the planning service and ensure that it supports an economic recovery, the Scottish Government will take forward the changes introduced by the Planning (Scotland) Act, including: •	Carrying out a comprehensive review of national planning policies and the extension of permitted development rights, removing the need to apply for planning permission for priority areas of development, to support economic recovery. •	A consultation on detailed proposals and lay regulations in Parliament. •	Exploring options to alleviate planning restraints, build capacity and deal more quickly with complex applications.","United Kingdom","0","0","Other","Other/Uncategorised"
"Improving public transport (Wales)","The Welsh Government has provided £245 million of funding to ensure train services continue to operate on the Wales and Borders network and to support bus services facing reduced fair income, helping to keep cares off the road. The Government will also fund a £800,000 programme intended to pilot the reform of bus services, building on the Fflecsi trials of demand responsive services.","United Kingdom","293","0.09","Green","Recharge and Refuel"
"Improving the sustainability of construction","Boost for state of the art construction technology aimed on improving productivity and building quality, such as re-usable roofs and walls and ""digital clones"" of buildings that analyse data in real time.","United Kingdom","12","0","Green","Modernise"
"Improving women's healthcare (Scotland)","To improve the healthcare received by women in Scotland, the Scottish Government will: •	Develop a Women’s Health Plan which will underpin actions to tackle women’s health inequalities by raising awareness around women’s health and improving access to healthcare for women throughout life.  •	Ensure women have access to specialist menopause services for advice and support on the diagnosis and management of menopause. •	Improve access for women to appropriate support, speedy diagnosis and best treatment for endometriosis. •	Improving access to information for girls and women on menstrual health and management options. •	Improve access to abortion and contraception services. •	Ensure rapid and easily accessible postnatal contraception. •	Reduce inequalities in health outcomes for women’s general health, including work on cardiac disease. •	Continue to review and transform maternity and neonatal services over five years to reduce inequality, keep mother and baby together, and improve experience of care and clinical outcomes.","United Kingdom","0","0","Other","Other/Uncategorised"
"Incentive plan for the installation of charging points, the purchase of electric vehicles and fuel cells and innovation in electromobility, recharging and green hydrogen","The aim is to renew the fleet of electric vehicles, the implementation of the charging infrastructure in residential areas, the deployment of public and private charging infrastructure , unique innovation projects related to electromobility and large projects of singular recharging infrastructure in the national road network, electric recharging hubs, etc.","Spain","2000","2.84","Green","Recharge and Refuel"
"Incentivization regime for the productivity and extroversion of enterprises (increasing the size of enterprises)","The reform will create an array of tax, and other, incentives to encourage the self-employed and micro, small and medium sized enterprises to increase economies of scale through mergers, conversions, acquisitions and cooperation schemes & platforms (e.g. joint ventures, clusters) that will also promote higher productivity and increased exports.","Greece","0","0","Other","Other/Uncategorised"
"Incorporation of new technologies and trends towards public administration’s advanced services, increase of efficiency and effectiveness, and decrease of systems operating, upgrade and maintenance costs","The reform aims to develop a holistic framework that will bring technological advancements (i.e. Cloud computing, Business Intelligence, Artificial Intelligence - AI, Machine Learning, Distributed Ledger Technology - DLT etc) into the public administration for the purposes efficient data collection, processing, presentation and storage, thus, facilitating enhanced digital services, appropriate decision-making, systems’ and infrastructure’s efficient operation and maintenance.","Greece","0","0","Digital","Modernise"
"Increase employment support (Wales)","The Welsh Government has committed to support anyone 16 or over to access advice and help to find work, increase their skills, qualifications and employability, secure an apprenticeship, a job or to start a business.","United Kingdom","48","0.01","Other","Reskill and Upskill"
"Increase in maximum contribution bases","Gradual increase in the maximum contribution base of the system, accompanied by an adaptation of the maximum pension.","Spain","0","0","Other","Other/Uncategorised"
"Increased capacities to respond to health crises","Strengthen surveillance, early detection and rapid response capacities in the event of any critical health situation.","Spain","80.91","0.11","Other","Other/Uncategorised"
"Increased mental health support (Wales)","The Welsh Government is investing to boost the provision of mental health support for individuals aged 16 or over.","United Kingdom","2","0","Other","Other/Uncategorised"
"Increased support to veterans (Scotland)","To increase the support provided to veterans and ensure there is no disadvantage to the Armed Forces and veterans community, the Scottish Government aims to: •	To improve support across key themes such as employment, education and skills, and health and wellbeing. •	Fund the Unforgotten Forces consortium of charities with £750,000 over three years to 2022 23 to improve the health, wellbeing and quality of life for older veterans.","United Kingdom","1","0","Other","Other/Uncategorised"
"Increasing cybersecurity prospects (Northern Ireland)","To increase the career prospects in Northern Ireland, the Northern Ireland Executive aims to: •	Pilot a cyber security job vacancy platform with free online access to skilled training. •	Promote NI as a global cyber security hub, to achieve New Decade New Approach commitment of 5,000 cyber security professionals in Northern Ireland by 2030.","United Kingdom","0","0","Digital","Reskill and Upskill"
"Increasing the capacity and efficiency of the asylum seekers reception system","Increase in the reception capacity of the asylum system.","Spain","190","0.27","Other","Other/Uncategorised"
"Increasing the standards of education (Scotland)","With the ambition to increase the standards of education, and ensure children and young people develop a broad range of skills and capabilities, the Scottish Government will:  •	Conduct a broad independent review of the Scottish approach to assessment and qualifications. •	Take forward a programme of education reform, incorporating the recommendations in the OECD report ‘Scotland’s Curriculum for Excellence: Into the future’. This includes replacing the Scottish Qualifications Authority. •	Ensure there is appropriate career progression and pathways for teachers looking to specialise in Additional Support for Learning. •	Explore options for the development of an accredited qualification and registration programme for Additional Support Needs assistants with final proposals to be brought forward by autumn 2023. •	Review the current role of measures and indicators associated with Curriculum for Excellence with a view to ensuring an appropriate balance between quality assurance and improvement within learning with sustainable workloads for teacher. •	Establish a regular cycle of collaborative review for Curriculum for Excellence. •	Support the recruitment of at least 3,500 additional teachers and 500 classroom assistants over and above the £135 million invested to recruit 1,400 during the pandemic – meaning that by the end of the parliament there will be almost 5,000 more teachers. •	Supporting student welfare with new mental health training and learning resources for school staff and increasing school counselling services and establish a guarantee of access to mental health and wellbeing support. •	Enhance the current school estate via a second phase of school projects as part of a new £1 billion Learning Estate Investment Programme. Projects are expected to be complete for the start of the new school term in August 2024.","United Kingdom","0","0.37","Other","Reskill and Upskill"
"Indicative Strategy for the development, maintenance and renovation of the railway infrastructure","The objective is to develop sectoral strategic instrument that, in addition to satisfying future mobility needs, contributes to the decision-making process regarding railway infrastructures, providing it with greater coherence and effectiveness.","Spain","0","0","Green","Recharge and Refuel"
"Individual Training Accounts (Scotland)","The Scottish Government's Individual Training Accounts are most commonly used to access basic entry level certificates across a range of sectors. The Scottish government aims to work with business, trades unions, and the education and skills sector, to ensure a more targeted approach to training provision based on labour market intelligence. The government will focus on sectors identified as likely to have skills gaps and job openings, ensuring that funding reflects demand and will engage with employers, schools and colleges to inform this approach.","United Kingdom","4","0","Other","Reskill and Upskill"
"Industrial supply chain and internationalisation policies","The project plans to support industrial supply chains, in particular those that have been most affected by the effects of the crisis and those most advanced from the point of view of innovation and environmental sustainability, encouraging their strengthening also in order to improve their positioning in European and global value chains and to reduce dependence on third countries. Particular attention will be paid, in this projects area, to companies that promote Made in Italy products worldwide, in particular those of smaller dimensions. To this end, the Fund of Funds system will be used through which the allocated resources, together with EIB and EU instruments, are transferred to specialised operating funds for financial instruments, risks and sectors of intervention.","Italy","1950","1.02","Digital","Other/Uncategorised"
"Infrastructure investment (Scotland)","The Scottish Government has committed to increase Scotland's annual infrastructure investment until it is £1.5 billion higher by the end of next Parliament than in 2019-20. To support infrastructure development, and publish an Infrastructure Investment Plan with an expected value of £32 billion over five years.","United Kingdom","0","0","Other","Modernise"
"Innovating for the resilience of our economies","Support innovation and the emergence of new numeric solutions around 6 strategies : Quantum technologies, to develop own cybesecurity capacities, enhance numeric teaching, support the development of numeric cultural and creative sectors, 5G and future networks technologies, cloud strategies.","France","1800","4.41","Digital","Scale-up"
"Innovation and internationalization of vocational training","Increase in the offer of vocational training, so that the qualification needs that the labor market will demand in the future are rebalanced, together with an active participation of companies and the offering of training opportunities.","Spain","598.998","0.85","Other","Reskill and Upskill"
"Innovation and technology of microprocessors","The project is aimed at supporting the high-tech sector of microelectronics, through a mix of tools for financial support for investments in machinery, equipment and production facilities.","Italy","750","0.39","Digital","Other/Uncategorised"
"Innovation ecosystems in the South in marginalised urban contexts","The interventions for innovation and ecological and digital transformation in the Southern Regions are aimed at creating infrastructures and laboratories for technology transfer which requalify the urban fabric. The aim is to create new infrastructure assets for the attraction and creation of innovative enterprises, to strengthen highly qualified human capital, to retrain skills capable of responding to the challenges posed by the ecological and digital transitions, as well as to the strengthening of collaboration between companies, institutions and research organisations and citizens","Italy","220","0.11","Other","Other/Uncategorised"
"Innovation regulatory freedoms","The UK Government will maximise new freedoms and ensure regulations support science and innovation, enable business to flourish, and boost growth whilst maintaining high standards, by:  •	Using regulation to unlock cutting edge technologies such as drones and autonomous vehicles; •	Modernising our approach so that we deliver sophisticated policymaking that benefits citizens and the economy; •	Easing the regulatory compliance red tape burden on business;  •	Hard-wiring competition principles into regulatory decision-making •	A new ambitious regulatory reform programme to boost growth and innovation led by the Better Regulation Committee.","United Kingdom","0","0","Other","Other/Uncategorised"
"Innovation-bonus to promote the replacement of automobiles with combustion engines","The innovation bonus directly promotes demand for passenger cars with alternative drives.","Germany","2500","8.53","Green","Recharge and Refuel"
"Innovative data policies for Germany","The measures listed below are to be implemented: promote data infrastructures for high-performance computing, test and develop data custodian models, establish research network for anonymization and depersonalization of data.","Germany","574.4","1.96","Digital","Other/Uncategorised"
"Innovative Housing Programme (Wales)","The Welsh Government is boosting the Innovative Housing Programme, which is currently in its fourth year of running, to provide economic stimulus. The Programme builds new carbon neutral homes using modern methods of construction.","United Kingdom","54","0.02","Green","Modernise"
"Installed capacity increase in hellenic electricity distribution network operator HV/MV substations for new RES connection","Increase of the installed capacity in existing substations of the network. The aim is to address the congestion of the distribution grid that prevents further growth of RES plants, thus, enabling the increased penetration of RES in the energy mix.","Greece","12","0.07","Green","Power Up"
"Integrating solar in hospitals pilot scheme (Wales)","The Welsh Government is supporting a pilot project to reduce the carbon footprint of a major hospital by integrating a solar energy plant onto its site.","United Kingdom","12","0","Green","Renovate"
"Interconnection and interoperability of registries, systems and services for data exchange between public organisations","Development of a comprehensive framework and a roadmap for the interconnection and interoperability of registries and services for data exchange between public organisations, in line with the new European Interoperability Framework (EIF). The reform will facilitate the provision of interoperable, personalised and user friendly digital public services to citizens and businesses.","Greece","0","0","Digital","Modernise"
"Intermodality and logistics","Development of intermodal terminals, external railway accesses to Spanish ports and terminals, external road access to ports, improvement of port accessibility and sustainability of ports.","Spain","974.4","1.38","Green","Recharge and Refuel"
"International approach","Extend the system for the automatic exchange of tax information internationally.","Spain","0","0","Other","Other/Uncategorised"
"International Climate Finance programmes","The UK Government will provide additional funding to support climate ambitions internationally between 2021-2025.","United Kingdom","0","0.42","Green","Other/Uncategorised"
"International development (Scotland)","The Scottish Government has reviewed their approach to international development and is reforming the International Development Programme to be based on, and align with, Scotland’s new Principles, including their stated underlying ethos of embedding a human rights approach in all of Scotland’s international development work.  The Scottish Government have also committed to the “Beyond Aid agenda” and to better aligning policies across government to ensure they do not harm, contribute to positive development outcomes overseas, and improve Scotland’s collective sustainability","United Kingdom","0","0","Other","Other/Uncategorised"
"Internationalization","Strengthening the capacities and instruments of the Spanish system to support exports, internationalization and foreign investment.","Spain","201.85","0.29","Other","Other/Uncategorised"
"Interoperability of public computer systems and registers & development of internet services","Creation of the central infrastructure and related services (Cloud, Enterprise Service Bus) needed to render systems and registers between public bodies interoperable and interconnected. The national open data portal will be upgraded and connected in parallel with the European Portal. This is a key project that will substantially accelerate the flow of information to the public and enable the provision of efficient online services to citizens and businesses, including by automatically collecting data from different ministries and services.","Greece","97","0.53","Digital","Modernise"
"InterTradeIreland (Northern Ireland)","The Northern Ireland Executive will support and promote InterTradeIreland with the aim to support a greater number of firms to innovate; develop new products, processes or services; and improve efficiency through InterTradeIreland Innovation Programmes. InterTradeIreland Programmes include:   •	InterTradeIreland Synergy Programme which supports the development of cross-border innovation collaborations and clusters. •	InterTradeIreland’s Emergency Business Support Programme which delivers cross-boarder business development support.","United Kingdom","0","0","Other","Other/Uncategorised"
"Interventions for the electricity interconnection of islands and the upgrading of the electricity network","Interconnection of the Cyclades Islands (Phase D), an overhead line connecting Extra High Voltage Center (EHVC) Corinth and EHVC Koumoundouros and accompanying projects. The projects boost energy security, while also increasing the potential for electricity generation from RES in the islands and the Peloponnese. They also reduce energy costs, leading to new investments and jobs in the energy-intensive sectors of the economy","Greece","195","1.07","Green","Power Up"
"Interventions for the upgrade and redeployment of the Greek rail network system and infrastructure","The investment includes interventions to upgrade and ensure the smooth and safe operation of the Greek rail network system. It includes works to upgrade of existing railway infrastructure and superstructure, electromechanical systems, signalling, telecommunications and electrification among others. The investment is split into three sub-projects: 1. Main network branch (Central Greece Piraeus – Athens – Thessaloniki – northern borders) 2. Network branch Macedonia – Thrace (Northern Greece) 3. Network branch Aerodromio – Rododafni (Attica and Peloponnese)","Greece","130","0.71","Green","Recharge and Refuel"
"Interventions in residential areas and in the building stock","This investment concerns a number of interventions in different urban areas. 1) Interventions - in 16 urban and coastal areas - that contribute to climate change adaptation and mitigation, including the protection of urban landmarks of significant importance, and the promotion of the climate neutrality of cities. 2) The regeneration of the ex-industrial area of Votanikos / Elaionas in the heart of Athens. 3) The upgrade of a connected and accessible seafront along the coast of Athens (Athenian Riviera). 4) The re-development a former industrial unit in the city of Patras (Ladopoulos factory)","Greece","475","2.61","Green","Renovate"
"Intra-city transport settlements","The UK Government aims to develop integrative transport plans for eight city regions that will deliver on local priorities such as tackling congestion and driving productivity, subject to the creation of appropriate governance arrangements to agree and deliver funding, from 2022-2023.","United Kingdom","0","1.53","Other","Connect"
"Introducing 5G - National plan for fixed and mobile broadband (Federal)","The national plan for fixed and mobile broadband will be elaborated through 4 axes whereby the Minister of Telecommunications will be charged with the coordination role for the elaboration of the various projects: 1.	Mapping network coverage and identifying white zones 2.	Facilitating rollout 3.	Encourage investment in the white zones 4.	Create fiber and 5G support","Belgium","0","0","Digital","Modernise"
"Investing in R&D innovation","The UK Government will stimulate research and development in the automotive sector to help companies take prototypes to market, such as more efficient electric motors or more powerful batteries.","United Kingdom","0","0.83","Other","Scale-up"
"Investing in SMEs and early-stage companies (Scotland)","To support Scotland’s new businesses and entrepreneurs, the Scottish Government is: •	Due to the investment pool shrinking globally, the She most ambitious of Scotland’s new businesses would traditionally look to the investment market for capital to grow and develop. This investment pool is shrinking globally and may not recover for several years. Providing an additional £38 million support package for early stage businesses, to be implemented by Scottish Enterprise in partnership with private investors and other partners with relevant experience due to the global investment pool shrinking. •	Providing funding to support the Scale Up Scotland Programme which provides practical and relevant learning for high growth potential entrepreneurs. •	Running the £1.5 million Unlocking Ambition Programme which provides grants and specialist support for early stage, growth potential businesses, with a new focus on low carbon and economic recovery.","United Kingdom","47","0.01","Other","Reskill and Upskill"
"Investing in the environment and green technologies (Scotland)","The Scottish Government is investing in restoring Scotland’s environment and green technologies and industries to create jobs. They are committing to increase public investment in these areas by at least £500 million, with a view to mobilising further investment as the parliamentary session progresses.","United Kingdom","595","0.18","Green","Reskill and Upskill"
"Investing in transportation infrastructure","To boost regional growth and connecting people to opportunities, the UK Government are delivering the largest ever investment in motorways and major A-roads worth over £27 billion between 2020 and 2025 through the Road Investment Strategy 2, as well as investing £1.7 billion in our local roads in the next 12 months. The Union Connectivity Review is reviewing options to improve our sea, air and land-links across the four nations.","United Kingdom","0","1.62","Other","Renovate"
